A,Ca,Ce,D,I
0,6,8,0.43,0.58
0,6,8,0.43,0.58
0,6,8,0.43,0.58
0,6,8,0.43,0.58
0.028565445,2.442931938,3.650261781,0.089099476,0.157895288
0.028565445,2.393717278,2.796858639,0.105329843,0.14139267
0.028962025,2.23206751,2.455696203,0.113400844,0.14664135
0.029932692,2.326923077,2.558653847,0.122307692,0.153269231
