CBO,DIT,LCOM,NOC,RFC,WMC,A,Ca,Ce,D,I,AHF,AIF,CF,MHF,MIF,PF,Power
16.57142857,1.8,2.964285714,0.381818182,46.875,37.125,0.1475,33.65,31.1,0.4315,0.4535,41.55 ,56.17 ,2.45 ,29.92 ,35.58 ,72.79 ,2531.75
16.60714286,1.8,3.017857143,0.381818182,46.83928571,37.10714286,0.1475,33.65,30.9,0.432,0.4525,41.58 ,56.18 ,2.45 ,29.82 ,35.62 ,72.79 ,161.8
15.84615385,2.15625,2.969230769,0.328125,48.26153846,36.63076923,0.125454545,30.13636364,29.72727273,0.416818182,0.486818182,41.70 ,55.23 ,2.46 ,29.61 ,34.01 ,72.79 ,89.3
16.06060606,2.123076923,2.954545455,0.323076923,49.13636364,38.18181818,0.141818182,30.68181818,28.31818182,0.420909091,0.466818182,41.60 ,55.23 ,2.46 ,29.67 ,34.06 ,76.84 ,95.25
16.078125,2.158730159,3,0.333333333,48.71875,37.109375,0.131428571,31.14285714,29.04761905,0.428571429,0.470952381,41.66 ,55.21 ,2.46 ,29.67 ,34.06 ,76.84 ,"70.22222222
"
16.25396825,2.177419355,2.936507937,0.338709677,49.12698413,37.55555556,0.130952381,31.04761905,28.9047619,0.427619048,0.473333333,41.74 ,55.73 ,2.46 ,29.75 ,33.98 ,76.41 ,91.7
16.0483871,2.213114754,2.629032258,0.344262295,49.06451613,37.20967742,0.134545455,29.95454545,29.63636364,0.406818182,0.487727273,41.93 ,55.66 ,2.47 ,30.10 ,33.98 ,76.53 ,37.33333333
15.625,2.1875,2.90625,0.328125,52.328125,41.359375,0.143181818,29.5,28.86363636,0.399090909,0.491818182,43.09 ,56.04 ,2.48 ,29.46 ,33.31 ,78.03 ,94.88888889
15.83076923,2.153846154,2.892307692,0.323076923,53.15384615,42.84615385,0.159545455,30.04545455,27.40909091,0.403181818,0.471818182,43.09 ,56.04 ,2.48 ,29.46 ,33.31 ,78.03 ,87
15.86153846,2.153846154,2.907692308,0.323076923,53.26153846,42.86153846,0.16,29.95454545,27.40909091,0.402272727,0.472272727,43.02 ,55.82 ,2.51 ,29.40 ,33.39 ,77.77 ,37.63636364
15.78461538,2.138461538,2.861538462,0.323076923,52.90769231,42.83076923,0.16,29.86363636,27.27272727,0.403181818,0.471818182,42.97 ,55.81 ,2.51 ,29.61 ,33.10 ,79.77 ,263.875
15.83870968,2.193548387,2.548387097,0.338709677,53.46774194,43.72580645,0.159545455,29.86363636,27.27272727,0.403181818,0.472727273,42.93 ,55.80 ,2.50 ,29.67 ,33.00 ,79.72 ,183.9
15.85483871,2.193548387,2.548387097,0.338709677,53.03225806,43.62903226,0.16,29.77272727,27.31818182,0.402727273,0.472272727,43.01 ,55.76 ,2.49 ,29.73 ,33.02 ,79.92 ,138.6
15.83333333,2.121212121,2.575757576,0.318181818,52.48484848,42.3030303,0.16,29.77272727,27.31818182,0.402727273,0.472272727,43.02 ,55.75 ,2.50 ,29.73 ,33.02 ,79.92 ,79.1
16.67857143,2.277108434,3.095238095,0.301204819,50.26190476,37.17857143,0.143043478,31,28.95652174,0.403913043,0.480869565,38.10 ,54.35 ,2.45 ,29.93 ,34.82 ,76.64 ,510.3
16.5952381,2.277108434,3.095238095,0.301204819,50.17857143,37.08333333,0.143043478,30.82608696,28.86956522,0.404782609,0.48,38.12 ,54.35 ,2.45 ,29.90 ,34.84 ,76.52 ,291.1
16.48809524,2.277108434,3.095238095,0.301204819,50.16666667,37.11904762,0.143043478,30.69565217,29.04347826,0.40173913,0.483478261,41.64 ,56.36 ,2.46 ,29.96 ,34.85 ,76.28 ,314.2
16.31707317,2.259259259,3.146341463,0.308641975,50.34146341,37.57317073,0.149090909,30.86363636,28.90909091,0.405,0.475909091,41.46 ,56.17 ,2.45 ,29.87 ,35.59 ,72.72 ,390.1
16.31707317,2.259259259,3.146341463,0.308641975,50.32926829,37.52439024,0.149090909,30.86363636,28.90909091,0.405,0.475909091,41.46 ,56.17 ,2.45 ,29.87 ,35.59 ,72.72 ,417.7
16.3125,2.291139241,3.2,0.316455696,49.9,36.6375,0.139047619,31.28571429,29.66666667,0.411428571,0.48047619,41.55 ,56.17 ,2.45 ,29.92 ,35.58 ,72.79 ,1162.4
15.54621849,2.186440678,3.87394958,0.466101695,46.43697479,36.66386555,0.141153846,28.69230769,29.15384615,0.393846154,0.490769231,41.58 ,56.18 ,2.45 ,29.82 ,35.62 ,72.79 ,489.1
16.01234568,2.1,3.308641975,0.2625,51.48148148,38.74074074,0.134347826,28.95652174,28.60869565,0.403043478,0.490434783,41.70 ,55.23 ,2.46 ,29.61 ,34.01 ,72.79 ,325.5
16.18292683,2.074074074,3.292682927,0.259259259,52.14634146,39.95121951,0.15,29.47826087,27.26086957,0.406956522,0.471304348,41.60 ,55.23 ,2.46 ,29.67 ,34.06 ,76.84 ,301.4
16.2125,2.101265823,3.3375,0.265822785,51.8875,39.0375,0.134347826,28.95652174,28.65217391,0.403043478,0.490434783,41.66 ,55.21 ,2.46 ,29.67 ,34.06 ,76.84 ,393.1
16.64285714,2.202898551,2.942857143,0.304347826,52.78571429,39.98571429,0.130952381,31.04761905,28.9047619,0.427619048,0.473333333,41.74 ,55.73 ,2.46 ,29.75 ,33.98 ,76.41 ,363.3
16.41666667,2.183098592,2.930555556,0.295774648,52.86111111,40,0.134545455,29.95454545,29.63636364,0.406818182,0.487727273,41.93 ,55.66 ,2.47 ,30.10 ,33.98 ,76.53 ,287.2
15.66666667,2.117117117,3.90990991,0.414414414,50.90990991,41.87387387,0.134545455,29.95454545,29.63636364,0.406818182,0.487727273,43.09 ,56.04 ,2.48 ,29.46 ,33.31 ,78.03 ,282.5
16.21518987,2.126582278,3.265822785,0.265822785,56.17721519,44.84810127,0.166956522,28.86956522,26.39130435,0.39,0.476086957,43.09 ,56.04 ,2.48 ,29.46 ,33.31 ,78.03 ,300.3
16.24050633,2.126582278,3.278481013,0.265822785,56.25316456,44.86075949,0.167391304,28.7826087,26.39130435,0.389130435,0.476521739,43.02 ,55.82 ,2.51 ,29.40 ,33.39 ,77.77 ,361.6
16.17721519,2.113924051,3.240506329,0.265822785,55.96202532,44.83544304,0.167391304,28.69565217,26.26086957,0.39,0.476086957,42.97 ,55.81 ,2.51 ,29.61 ,33.10 ,79.77 ,490.1818182
16.17948718,2.128205128,3.205128205,0.269230769,56.26923077,45.52564103,0.166956522,28.69565217,26.26086957,0.39,0.476956522,42.93 ,55.80 ,2.50 ,29.67 ,33.00 ,79.72 ,"409.8181818  
"
16.15384615,2.128205128,3.179487179,0.269230769,55.79487179,45.37179487,0.167391304,28.60869565,26.30434783,0.389565217,0.476521739,43.01 ,55.76 ,2.49 ,29.73 ,33.02 ,79.92 ,364
15.03846154,2,2.884615385,0.355769231,49.08653846,41.09615385,0.151153846,26.80769231,26.69230769,0.376153846,0.497307692,43.02 ,55.75 ,2.50 ,29.73 ,33.02 ,79.92 ,335.8
16.67857143,2.277108434,3.095238095,0.301204819,50.26190476,37.17857143,0.143043478,31,28.95652174,0.403913043,0.480869565,38.10 ,54.35 ,2.45 ,29.93 ,34.82 ,76.64 ,412.6
16.62650602,2.292682927,3.084337349,0.304878049,50.46987952,37.27710843,0.143043478,30.82608696,28.86956522,0.404782609,0.48,38.12 ,54.35 ,2.45 ,29.90 ,34.84 ,76.52 ,290.5
16.57647059,2.261904762,3.070588235,0.297619048,49.82352941,36.87058824,0.143043478,30.69565217,29.04347826,0.40173913,0.483478261,41.64 ,56.36 ,2.46 ,29.96 ,34.85 ,76.28 ,346.4
16.31707317,2.259259259,3.146341463,0.308641975,50.34146341,37.57317073,0.149090909,30.86363636,28.90909091,0.405,0.475909091,41.46 ,56.17 ,2.45 ,29.87 ,35.59 ,72.72 ,393.2
16.3125,2.291139241,3.2,0.316455696,49.9125,36.6625,0.139047619,31.28571429,29.66666667,0.411428571,0.48047619,41.46 ,56.17 ,2.45 ,29.87 ,35.59 ,72.72 ,362.5
16.3125,2.291139241,3.2,0.316455696,49.9,36.6375,0.139047619,31.28571429,29.66666667,0.411428571,0.48047619,41.55 ,56.17 ,2.45 ,29.92 ,35.58 ,72.79 ,1124.3
14.68421053,2.090909091,3.751879699,0.431818182,46.55639098,38.31578947,0.158928571,27.78571429,28.39285714,0.371071429,0.496428571,41.58 ,56.18 ,2.45 ,29.82 ,35.62 ,72.79 ,391.2
16.01234568,2.1,3.308641975,0.2625,51.48148148,38.74074074,0.134347826,28.95652174,28.60869565,0.403043478,0.490434783,41.70 ,55.23 ,2.46 ,29.61 ,34.01 ,72.79 ,249.3
16.18292683,2.074074074,3.292682927,0.259259259,52.14634146,39.95121951,0.15,29.47826087,27.26086957,0.406956522,0.471304348,41.60 ,55.23 ,2.46 ,29.67 ,34.06 ,76.84 ,319
16.39240506,2.102564103,3.367088608,0.269230769,52.30379747,39.4556962,0.140454545,29.86363636,27.90909091,0.413636364,0.475454545,41.66 ,55.21 ,2.46 ,29.67 ,34.06 ,76.84 ,284.2
16.38888889,2.183098592,2.930555556,0.295774648,51.94444444,39.36111111,0.130952381,31.04761905,28.9047619,0.427619048,0.473333333,41.74 ,55.73 ,2.46 ,29.75 ,33.98 ,76.41 ,328.8
16.20547945,2.180555556,2.904109589,0.291666667,52.39726027,39.64383562,0.134545455,29.95454545,29.63636364,0.406818182,0.487727273,41.93 ,55.66 ,2.47 ,30.10 ,33.98 ,76.53 ,294.2
16.05128205,2.153846154,3.282051282,0.269230769,55.53846154,43.66666667,0.151304348,28.34782609,27.7826087,0.386086957,0.495217391,43.09 ,56.04 ,2.48 ,29.46 ,33.31 ,78.03 ,230.9
16.21518987,2.126582278,3.265822785,0.265822785,56.17721519,44.84810127,0.166956522,28.86956522,26.39130435,0.39,0.476086957,43.09 ,56.04 ,2.48 ,29.46 ,33.31 ,78.03 ,248.2
16.24050633,2.126582278,3.278481013,0.265822785,56.25316456,44.86075949,0.167391304,28.7826087,26.39130435,0.389130435,0.476521739,43.02 ,55.82 ,2.51 ,29.40 ,33.39 ,77.77 ,346.8
16.17721519,2.113924051,3.240506329,0.265822785,55.96202532,44.83544304,0.167391304,28.69565217,26.26086957,0.39,0.476086957,42.97 ,55.81 ,2.51 ,29.61 ,33.10 ,79.77 ,312.6
16.17948718,2.128205128,3.205128205,0.269230769,56.26923077,45.52564103,0.166956522,28.69565217,26.26086957,0.39,0.476956522,42.93 ,55.80 ,2.50 ,29.67 ,33.00 ,79.72 ,314.6
16.15384615,2.128205128,3.179487179,0.269230769,55.79487179,45.37179487,0.167391304,28.60869565,26.30434783,0.389565217,0.476521739,43.01 ,55.76 ,2.49 ,29.73 ,33.02 ,79.92 ,370.6
15.81481481,2.098765432,3.172839506,0.259259259,55.2345679,44.14814815,0.160416667,27.79166667,26.95833333,0.380833333,0.490416667,43.02 ,55.75 ,2.50 ,29.73 ,33.02 ,79.92 ,"248.1666667  
"
14.95683453,1.927536232,3.654676259,0.413043478,46.99280576,39.00719424,0.160666667,27.8,27.86666667,0.373,0.491,38.10 ,54.35 ,2.45 ,29.93 ,34.82 ,76.64 ,435.7
14.70072993,1.948529412,3.693430657,0.419117647,46.60583942,38.39416058,0.148666667,27.2,29.06666667,0.369333333,0.506333333,38.12 ,54.35 ,2.45 ,29.90 ,34.84 ,76.52 ,317.5
14.7826087,1.934306569,3.673913043,0.416058394,47.12318841,39.13768116,0.160666667,27.56666667,27.93333333,0.371333333,0.493,41.64 ,56.36 ,2.46 ,29.96 ,34.85 ,76.28 ,435.7
14.66176471,1.918518519,3.713235294,0.422222222,47.16911765,39.44117647,0.165862069,27.5862069,27.79310345,0.372758621,0.487586207,41.46 ,56.17 ,2.45 ,29.87 ,35.59 ,72.72 ,409.3
14.63432836,1.932330827,3.753731343,0.428571429,46.87313433,38.95522388,0.158928571,27.78571429,28.32142857,0.376428571,0.491428571,41.46 ,56.17 ,2.45 ,29.87 ,35.59 ,72.72 ,390.3
15.5,2.048543689,3.875,0.466019417,46.19230769,37.125,0.1384,28,27.2,0.4088,0.4796,41.55 ,56.17 ,2.45 ,29.92 ,35.58 ,72.79 ,1576.5
14.63235294,1.918518519,3.727941176,0.422222222,46.98529412,39.35294118,0.165862069,27.55172414,27.65517241,0.372758621,0.486896552,41.58 ,56.18 ,2.45 ,29.82 ,35.62 ,72.79 ,458.4
14.46099291,1.978571429,3.716312057,0.378571429,47.26241135,39.04255319,0.144375,24.9375,26.78125,0.364375,0.514375,41.70 ,55.23 ,2.46 ,29.61 ,34.01 ,72.79 ,418.8
14.57042254,1.964539007,3.704225352,0.375886525,47.67605634,39.73943662,0.155625,25.3125,25.8125,0.3671875,0.500625,41.60 ,55.23 ,2.46 ,29.67 ,34.06 ,76.84 ,374.5
15.2519685,2.055555556,3.826771654,0.404761905,47.22834646,37.56692913,0.128,25.53333333,27.36666667,0.383666667,0.510666667,41.66 ,55.21 ,2.46 ,29.67 ,34.06 ,76.84 ,380.1
15.66371681,2.089285714,3.769911504,0.392857143,47.86725664,38.19469027,0.132068966,26.03448276,26.65517241,0.390344828,0.501724138,41.74 ,55.73 ,2.46 ,29.75 ,33.98 ,76.41 ,418.2
14.90839695,2.046153846,3.755725191,0.407692308,46.61068702,37.52671756,0.139333333,25.4,26.63333333,0.374333333,0.51,41.93 ,55.66 ,2.47 ,30.10 ,33.98 ,76.53 ,456.4
15.12598425,2.141732283,3.787401575,0.417322835,49.34645669,40.22834646,0.141,25.56666667,26.6,0.377,0.508333333,43.09 ,56.04 ,2.48 ,29.46 ,33.31 ,78.03 ,338.9
14.48571429,2.007142857,3.678571429,0.378571429,49.57857143,42.22857143,0.1678125,24.90625,25.40625,0.35375,0.5053125,43.09 ,56.04 ,2.48 ,29.46 ,33.31 ,78.03 ,365.8
14.5,2.007142857,3.685714286,0.378571429,49.62142857,42.23571429,0.168125,24.84375,25.40625,0.353125,0.505625,43.02 ,55.82 ,2.51 ,29.40 ,33.39 ,77.77 ,373.3
14.46428571,2,3.664285714,0.378571429,49.45714286,42.22142857,0.1684375,24.75,25.3125,0.3534375,0.5053125,42.97 ,55.81 ,2.51 ,29.61 ,33.10 ,79.77 ,"356.1666667  
"
14.32167832,1.979020979,3.608391608,0.377622378,48.65734266,41.71328671,0.168125,24.75,25.3125,0.3534375,0.5059375,42.93 ,55.80 ,2.50 ,29.67 ,33.00 ,79.72 ,482.7
14.30769231,1.979020979,3.594405594,0.377622378,48.3986014,41.62937063,0.1684375,24.6875,25.34375,0.353125,0.505625,43.01 ,55.76 ,2.49 ,29.73 ,33.02 ,79.92 ,333.1
14.18666667,1.973333333,3.546666667,0.386666667,47.84,40.46666667,0.163333333,24.21212121,25.84848485,0.347878788,0.514848485,43.02 ,55.75 ,2.50 ,29.73 ,33.02 ,79.92 ,398
15.83783784,2.190909091,3.657657658,0.436363636,45.98198198,36.72972973,0.136785714,27.07142857,26.17857143,0.394285714,0.4925,38.10 ,54.35 ,2.45 ,29.93 ,34.82 ,76.64 ,410.75
15.14393939,2.114503817,3.681818182,0.435114504,45.12878788,35.62878788,0.127333333,26.5,29.03333333,0.373666667,0.522,38.12 ,54.35 ,2.45 ,29.90 ,34.84 ,76.52 ,322.36
15.68867925,2.228571429,3.386792453,0.457142857,44.93396226,35.9245283,0.12962963,27.7037037,27.07407407,0.403333333,0.491851852,41.64 ,56.36 ,2.46 ,29.96 ,34.85 ,76.28 ,479.4545455
15.09923664,2.084615385,3.702290076,0.438461538,45.71755725,36.69465649,0.143793103,26.86206897,27.75862069,0.377241379,0.503793103,41.46 ,56.17 ,2.45 ,29.87 ,35.59 ,72.72 ,457.4
15.55045872,2.175925926,3.706422018,0.444444444,45.95412844,36.98165138,0.141481481,26.81481481,26.03703704,0.394814815,0.488888889,41.46 ,56.17 ,2.45 ,29.87 ,35.59 ,72.72 ,398.9
15.51219512,2.139344262,3.772357724,0.450819672,46.21138211,36.65853659,0.135925926,27.7037037,28.37037037,0.391111111,0.498148148,41.55 ,56.17 ,2.45 ,29.92 ,35.58 ,72.79 ,1200.6
15.52293578,2.175925926,3.724770642,0.444444444,45.74311927,36.87155963,0.141481481,26.77777778,25.88888889,0.394814815,0.488148148,41.58 ,56.18 ,2.45 ,29.82 ,35.62 ,72.79 ,434
15.01041667,2.052631579,3.65625,0.463157895,44.69791667,37.13541667,0.122222222,26.22222222,26.7037037,0.404444444,0.497777778,41.70 ,55.23 ,2.46 ,29.61 ,34.01 ,72.79 ,383
15.16494845,2.03125,3.639175258,0.458333333,45.32989691,38.18556701,0.135555556,26.66666667,25.55555556,0.407777778,0.481481481,41.60 ,55.23 ,2.46 ,29.67 ,34.06 ,76.84 ,417.8
15.02083333,2.052631579,3.65625,0.463157895,44.69791667,37.13541667,0.122222222,26.22222222,26.74074074,0.404444444,0.497777778,41.66 ,55.21 ,2.46 ,29.67 ,34.06 ,76.84 ,467.4
15.26595745,2.064516129,3.64893617,0.47311828,45.20212766,37.76595745,0.126538462,26.80769231,25.92307692,0.412692308,0.487307692,41.74 ,55.73 ,2.46 ,29.75 ,33.98 ,76.41 ,"418.4444444  
"
15.08421053,2.063829787,3.621052632,0.468085106,44.88421053,37.41052632,0.12962963,26.07407407,26.62962963,0.396296296,0.498518519,41.93 ,55.66 ,2.47 ,30.10 ,33.98 ,76.53 ,"362.2727273  
"
15.79104478,2.119402985,2.985074627,0.313432836,54.14925373,42.79104478,0.15,30.47619048,28.0952381,0.41,0.476190476,43.09 ,56.04 ,2.48 ,29.46 ,33.31 ,78.03 ,328.4
15.02083333,2.052083333,3.604166667,0.458333333,48.01041667,41.34375,0.15,26.14814815,24.81481481,0.393333333,0.485555556,43.09 ,56.04 ,2.48 ,29.46 ,33.31 ,78.03 ,272.1
15.04166667,2.052083333,3.614583333,0.458333333,48.08333333,41.35416667,0.15037037,26.07407407,24.81481481,0.392592593,0.485925926,43.02 ,55.82 ,2.51 ,29.40 ,33.39 ,77.77 ,332.6
14.98958333,2.041666667,3.583333333,0.458333333,47.84375,41.33333333,0.15037037,26,24.7037037,0.393333333,0.485555556,42.97 ,55.81 ,2.51 ,29.61 ,33.10 ,79.77 ,379.7272727
14.28037383,1.981308411,3.457943925,0.46728972,45.8411215,38.62616822,0.144642857,25.39285714,25.32142857,0.385714286,0.497857143,42.93 ,55.80 ,2.50 ,29.67 ,33.00 ,79.72 ,430.8
14.28971963,1.981308411,3.457943925,0.46728972,45.58878505,38.57009346,0.145,25.32142857,25.35714286,0.385357143,0.4975,43.01 ,55.76 ,2.49 ,29.73 ,33.02 ,79.92 ,432.8333333
14.18518519,1.990740741,3.435185185,0.462962963,45.26851852,38.28703704,0.145,25.32142857,25.35714286,0.385357143,0.4975,43.02 ,55.75 ,2.50 ,29.73 ,33.02 ,79.92 ,452.4
9,6,3,0,55,27,0,6,8,0.43,0.58,22.64,93.61,84.44,11.48,0,100,4081.8
9,6,3,0,54.5,26,0,6,8,0.43,0.58,22.64,93.61,84.44,11.86,0,100,4567.7
9,6,3,0,55,27,0,6,8,0.43,0.58,22.64,93.61,84.44,11.48,0,100,4538.3
5.083333333,3.833333333,2.416666667,0.083333333,29.91666667,14.66666667,0.088,7,6.6,0.494,0.442,71.92,91.73,13.85,23.81,7.55,925,4116
5.333333333,2.75,2.25,0,39.5,22.16666667,0.088,5.6,6.2,0.478,0.448,70.19,88.44,34.29,22.45,2.11,100,3613.6
9.923076923,4.384615385,2,0,63.84615385,40.61538462,0.06,17.25,13,0.4575,0.53,71.38 ,83.95 ,58.50 ,64.20 ,12.95 ,185.90 ,589.45
9.25,4,1.75,0,82.5,42.5,0.035,17.5,16,0.435,0.525,71.38 ,83.95 ,58.50 ,64.20 ,12.95 ,185.90 ,295.25
9.866666667,4.2,1.666666667,0,57.2,38.66666667,0.048,14.2,13.6,0.404,0.634,74.45 ,81.82 ,41.15 ,59.22 ,11.11 ,226.19 ,429.81
11.16666667,3.166666667,1.166666667,0,65.33333333,35.83333333,0.023333333,12.33333333,16,0.353333333,0.7,74.45 ,81.82 ,41.15 ,59.22 ,11.11 ,226.19 ,460.78
