CBO,DIT,LCOM,NOC,RFC,WMC,A,Ca,Ce,D,I,AHF,AIF,CF,MHF,MIF,PF,Power
15.84126984,2.126984127,2.523809524,0.317460317,53.79365079,43.6984127,0.125454545,30.09090909,29.68181818,0.415909091,0.489545455,41.76 ,55.19 ,2.46 ,29.74 ,33.94 ,76.78 ,65.6
15.92708333,1.979166667,2.958333333,0.364583333,51.70833333,43.97916667,0.126923077,26.84615385,25.96153846,0.412692308,0.487692308,41.76 ,55.19 ,2.46 ,29.74 ,33.94 ,76.78 ,330.3
15.64285714,1.969387755,2.928571429,0.367346939,50.73469388,43.16326531,0.130714286,25.03571429,25,0.385714286,0.497142857,43.23 ,55.60 ,2.56 ,30.12 ,33.09 ,79.59 ,319.5
14.1875,1.930555556,3.590277778,0.395833333,48.65277778,41.56944444,0.130714286,25.03571429,25,0.385714286,0.497142857,43.23 ,55.60 ,2.56 ,30.12 ,33.09 ,79.59 ,416.8
14.49038462,1.990384615,3.442307692,0.461538462,46.40384615,39.45192308,0.131428571,31.0952381,28.95238095,0.427619048,0.473809524,41.76 ,55.19 ,2.46 ,29.74 ,33.94 ,76.78 ,369.8
15.93650794,2.193548387,2.666666667,0.338709677,48.53968254,36.79365079,0.134347826,28.91304348,27.43478261,0.408695652,0.486956522,41.76 ,55.19 ,2.46 ,29.74 ,33.94 ,76.78 ,136.6666667
15.98701299,2.118421053,2.87012987,0.276315789,51.54545455,39.19480519,0.135652174,28.52173913,27.52173913,0.393478261,0.486521739,43.23 ,55.60 ,2.56 ,30.12 ,33.09 ,79.59 ,359.9
16.44444444,2.169014085,2.986111111,0.295774648,52.15277778,39.33333333,0.135652174,28.52173913,27.52173913,0.393478261,0.486521739,43.23 ,55.60 ,2.56 ,30.12 ,33.09 ,79.59 ,366.8
16.23076923,2.220779221,3.307692308,0.272727273,50.93589744,37.61538462,0.135652174,29.69565217,28.95652174,0.409130435,0.484782609,41.76 ,55.19 ,2.46 ,29.74 ,33.94 ,76.78 ,449.8
15,2.063829787,3.631578947,0.468085106,44.77894737,37.38947368,0.140952381,33.71428571,31.04761905,0.42952381,0.46,38.11 ,54.34 ,2.45 ,29.90 ,34.81 ,76.64 ,363.5
17.05084746,1.827586207,2.847457627,0.362068966,46.3220339,35.98305085,0.141818182,29.40909091,26.77272727,0.403636364,0.471363636,43.23 ,55.60 ,2.56 ,30.12 ,33.09 ,79.59 ,270.7777778
16.69047619,2.277108434,3.083333333,0.301204819,50.20238095,37.1547619,0.143043478,31,28.95652174,0.403913043,0.480869565,38.11 ,54.34 ,2.45 ,29.90 ,34.81 ,76.64 ,421.7
16.69047619,2.277108434,3.083333333,0.301204819,50.20238095,37.1547619,0.143043478,31,28.95652174,0.403913043,0.480869565,38.11 ,54.34 ,2.45 ,29.90 ,34.81 ,76.64 ,433.5
14.9057971,1.934306569,3.666666667,0.416058394,47.13043478,39.14492754,0.150322581,25.09677419,26.25806452,0.358064516,0.506451613,43.23 ,55.60 ,2.56 ,30.12 ,33.09 ,79.59 ,604.4
15.83018868,2.228571429,3.377358491,0.457142857,44.96226415,35.95283019,0.160666667,27.8,27.86666667,0.373,0.491,38.11 ,54.34 ,2.45 ,29.90 ,34.81 ,76.64 ,526
9,6,3,0,55,27,0.02,16,18.33333333,0.38,0.653333333,73.77 ,86.29 ,40.32 ,60.93 ,11.34 ,252.56 ,4677.8
6.5,3.5,2.25,0.083333333,32.41666667,15.08333333,0,6,8,0.43,0.58,22.64,93.61,84.44,11.48,0,100,3922.6
5.5,2.75,2.5,0,39.66666667,22.83333333,0.023333333,12.33333333,16,0.353333333,0.7,74.45 ,81.82 ,41.15 ,60.48 ,11.20 ,219.05 ,3331.9
9.428571429,4.142857143,1.928571429,0,61.64285714,45.57142857,0.035,17.5,16,0.435,0.525,71.39 ,83.38 ,58.50 ,64.42 ,12.86 ,188.46 ,1025.4
9.25,4,1.75,0,82.5,42.5,0.035,17.5,16,0.435,0.525,71.39 ,83.38 ,58.50 ,64.42 ,12.86 ,188.46 ,278.3636364
9.928571429,4.357142857,1.642857143,0,52.14285714,35.78571429,0.046,16.4,15,0.42,0.606,73.77 ,86.29 ,40.32 ,60.93 ,11.34 ,252.56 ,456.4
11.16666667,3.166666667,1.166666667,0,65,34.5,0.048,14.2,13.6,0.404,0.634,74.45 ,81.82 ,41.15 ,60.48 ,11.20 ,219.05 ,472.0833333
9.823529412,4.470588235,1.882352941,0,56.58823529,39.52941176,0.088,6.2,8,0.416,0.532,22.64,93.61,84.44,11.48,0,100,794.7
11.33333333,3.166666667,1.5,0,66.66666667,35.83333333,0.088,5.8,6.4,0.482,0.444,70.37,88.34,34.76,21.06,2.07,100,453.5
15.953125,1.920634921,2.75,0.333333333,46.140625,35.421875,0.140909091,32.59090909,30.40909091,0.419090909,0.471363636,38.10 ,54.35 ,2.45 ,29.93 ,34.82 ,76.64 ,470
16.84482759,1.842105263,2.896551724,0.368421053,46.86206897,36.36206897,0.140952381,33.52380952,30.95238095,0.43047619,0.459047619,38.12 ,54.35 ,2.45 ,29.90 ,34.84 ,76.52 ,171.1111111
16.74137931,1.842105263,2.896551724,0.368421053,46.84482759,36.4137931,0.140952381,33.38095238,31.14285714,0.427142857,0.462857143,41.64 ,56.36 ,2.46 ,29.96 ,34.85 ,76.28 ,74.22222222
15.58333333,1.915254237,2.866666667,0.355932203,45.55,34.83333333,0.1365,33.05,31.3,0.4285,0.47,41.46 ,56.17 ,2.45 ,29.87 ,35.59 ,72.72 ,69
16.59259259,1.830188679,3.037037037,0.396226415,46.2962963,35.81481481,0.136315789,34.31578947,32.05263158,0.440526316,0.457368421,41.46 ,56.17 ,2.45 ,29.87 ,35.59 ,72.72 ,126.7777778
