A,Ca,Ce,D,I
0.007481076,4.069438,3.1993947,0.037682075,0.03653637
0.00914711,3.9626012,3.048415,0.03626582,0.034788046
0.005691745,3.4901693,2.630005,0.03345085,0.030049706
0.005660339,3.4993942,2.6295838,0.033514977,0.029997284
0.006480726,3.2888715,2.6453948,0.028847864,0.028494589
0.006480726,3.290273,2.6545284,0.02876354,0.028501596
0.007274715,3.4129133,2.7385025,0.030015538,0.029830113
0.010440533,4.6626043,3.886125,0.041213837,0.04267239
0.006660767,3.4856694,2.8429203,0.031519625,0.030510982
0.007519355,3.723331,2.965632,0.033289578,0.031428237
0.006616685,3.4696136,2.6572876,0.03112527,0.027981909
1.42E-05,"	3.12E-03","	4.72E-01","	9.03E-04","	4.52E-05"
0.008765959,3.6434932,2.8657594,0.032073464,0.030412523
0.007616293,3.4454556,2.6330445,0.030643286,0.027908104
0.007350588,3.4828587,2.7284787,0.030579822,0.028342454
0.007896097,3.5781202,2.7819211,0.03187595,0.029208455
0.007823549,3.627837,2.8387864,0.03271323,0.02976497
0.006855486,3.286258,2.5872812,0.02919215,0.026912069
0.007973051,3.6123087,2.7217493,0.0315299,0.027859798
0.00441701,3.0037684,2.2736638,0.027229507,0.022236144
0.006796203,3.4686182,2.6554985,0.030209925,0.026153984
0.007692946,3.4635546,2.4921877,0.030568505,0.025370784
