A,Ca,Ce,D,I
0.008916399,4.517069,3.6592178,0.042237684,0.041992303
0.009212803,4.306303,3.3776789,0.039999656,0.03812513
0.004266493,3.4056673,2.5051053,0.031962287,0.027206413
0.00425419,3.4093711,2.5049703,0.031988215,0.027184375
0.010446354,4.589688,3.8690832,0.040530108,0.04209045
0.010446354,4.592761,3.8874426,0.040361878,0.042105813
0.010127127,4.6605163,3.9582152,0.04113971,0.042787444
0.011449944,4.7584047,4.040605,0.041634664,0.043755926
0.010320925,4.783829,4.0778503,0.044264816,0.043995965
0.010748288,5.0158806,4.193017,0.045179468,0.04429723
0.01102486,4.582257,3.6831064,0.040631,0.039244972
0.260760302,"	8.07466987","	0","	0.013255702","	0.009703733"
0.010983875,4.6251636,3.720638,0.041401505,0.039750475
0.009830349,4.2621417,3.2885003,0.038006254,0.035066996
0.010988224,4.7073183,3.6566474,0.04148052,0.03855254
0.012041201,5.1056843,3.9946308,0.046862103,0.042785462
0.010937986,5.0513954,4.0452414,0.044154454,0.04202171
0.008708922,5.2918496,3.7236905,0.057933193,0.042872082
0.010009486,4.472702,3.3794246,0.03878049,0.034678258
0.004363395,3.727454,2.6196544,0.03352697,0.025466112
0.006189347,4.735722,3.2269018,0.051719476,0.03616983
0.010093295,4.3168955,3.1067977,0.037842438,0.031811196
