CBO,DIT,LCOM,NOC,RFC,WMC
1.1630774,0.07918066,0.17836738,0.004746226,3.8186235,3.4155357
1.3449863,0.08218034,0.21725436,0.007812482,4.388864,4.0906563
0.89826435,0.042060424,0.13788329,0.002378548,3.2047837,3.149898
0.8982274,0.042060424,0.13791953,0.002378548,3.205619,3.1504054
1.0214219,0.057039667,0.15645768,0.004050009,3.4723268,3.2682755
1.0235096,0.058321312,0.1578285,0.004050009,3.4813464,3.2684138
1.0549573,0.060882226,0.16244996,0.004484074,3.5697596,3.3393722
1.1998997,0.074284606,0.18799242,0.006451361,3.960694,3.6719012
1.2044615,0.06940265,0.18711966,0.005032284,3.964958,3.6673794
1.3476374,0.07749264,0.20981789,0.00573646,4.2954574,3.9488559
1.2942843,0.07150727,0.20034271,0.005380646,4.166941,3.8726492
1.2540311,0.07066578,0.19829263,0.006667514,3.9458106,3.6331007
1.0114405,0.05398376,0.15178387,0.004081995,3.313588,3.097588
1.0601323,0.057456765,0.16415901,0.00494189,3.4655502,3.2403538
0.637984,0.033540625,0.09950504,0.00318162,2.0825932,1.9489397
1.0473783,0.05414455,0.1561663,0.005148814,3.342968,3.1517081
1.0201211,0.05304315,0.15259726,0.006006393,3.2950535,3.1135063
0.91627574,0.046017673,0.13523391,0.004697393,3.0277717,2.8918097
0.96342695,0.046954278,0.13746661,0.00366949,3.051408,2.8822718
0.8950117,0.0373907,0.12697482,0.001907747,2.8860989,2.8126552
0.8484971,0.036905505,0.11900419,0.002941513,2.7682796,2.6981688
0.89899325,0.041840963,0.13125402,0.004486296,2.9343677,2.810484
