A,Ca,Ce,D,I
0.009219525,3.910269,3.4200273,0.03633701,0.039721288
0.009410781,3.5481858,3.0274696,0.032219823,0.034630246
0.004129208,2.4952378,1.9172642,0.022966478,0.021084104
0.00411862,2.4983678,1.917155,0.02299123,0.021065572
0.006679791,3.0425198,2.587567,0.026685795,0.028093707
0.006678931,3.044914,2.5981302,0.026592568,0.028105248
0.006133175,2.9396687,2.4586604,0.025704201,0.026544165
0.007711397,3.470472,3.0051768,0.030528901,0.03257293
0.007460982,3.5177674,3.1049628,0.03240549,0.033549346
0.007003226,3.67439,3.148509,0.03363755,0.033091478
0.008361459,4.3749614,3.7080789,0.039607026,0.03912232
0.001808028,1.049359838,"	2.259308285","	0.090256139","	0.016773115"
0.006957888,3.056472,2.4533896,0.026933594,0.025972616
0.00666032,3.1732929,2.6365187,0.029311694,0.02808218
0.007239122,3.3828678,2.7627642,0.03000934,0.028760374
0.008043814,4.2292714,3.416638,0.03973618,0.035706863
0.007265684,3.554173,2.9316592,0.03159145,0.030365689
0.006966673,3.2771094,2.6222372,0.028939513,0.027213614
0.0064724,3.2261887,2.5328662,0.02829801,0.025571723
0.004889574,3.017363,2.290535,0.027552715,0.022819344
0.005544308,3.083627,2.335559,0.027265437,0.022921598
0.006327965,3.1701968,2.418233,0.02806009,0.024130326
