CBO,DIT,LCOM,NOC,RFC,WMC
1.0444453,0.07088538,0.16115934,0.005146525,3.5681524,3.3274617
0.9300361,0.056483388,0.14933194,0.006342215,3.138089,3.0332243
0.8913079,0.04800822,0.14553532,0.003554758,3.0110211,2.9351547
0.8911874,0.04800822,0.14552177,0.003554758,3.0117388,2.935531
0.75105006,0.04050612,0.11354134,0.003548422,2.618741,2.5129197
0.7523849,0.04142951,0.11450068,0.003548422,2.6239793,2.5134375
0.799731,0.045982167,0.12382842,0.004524015,2.7727,2.6416972
1.2736439,0.07865557,0.19552709,0.007061665,4.322909,4.0384736
0.8388045,0.048069347,0.13121898,0.004136532,2.8399448,2.6815853
0.8373992,0.047612146,0.13030478,0.004575148,2.8251061,2.6736164
0.7399174,0.03830178,0.11287154,0.003687605,2.5518467,2.4657612
0.76867896,0.041903824,0.12155434,0.00521248,2.63291,2.5213068
0.7741608,0.0444898,0.12201623,0.005913569,2.6341853,2.4937003
0.7370258,0.03984958,0.11528665,0.004953092,2.554166,2.456415
0.67880285,0.03489294,0.10137919,0.004041623,2.2803226,2.1764884
0.61601084,0.032834545,0.0958893,0.004445401,2.0590644,1.9716101
0.72754335,0.038010776,0.10915715,0.00465745,2.3764815,2.264867
0.5721976,0.029172014,0.085882664,0.003401174,1.9004911,1.8233696
0.7053591,0.036257762,0.10427033,0.004983363,2.324816,2.2282817
0.54789555,0.02374967,0.08275629,0.001847809,1.804221,1.7737263
0.6862786,0.03369686,0.09850207,0.003771535,2.2203572,2.1286347
0.67370534,0.03224948,0.10169454,0.005026007,2.259886,2.1950815
