CBO,DIT,LCOM,NOC,RFC,WMC
1.5994403,0.10246649,0.25430432,0.009927063,5.3569665,4.8794804
1.4603729,0.081959486,0.23996204,0.009210094,4.8094625,4.5292544
1.0925481,0.04650049,0.16927534,0.002756784,3.845677,3.7999635
1.0924474,0.04650049,0.1692654,0.002756784,3.8460207,3.8000913
1.4449365,0.08863453,0.22732553,0.009458833,4.717803,4.324173
1.4480737,0.090801306,0.22958338,0.009458833,4.7301016,4.3254166
1.5251217,0.09666102,0.24007264,0.00928027,4.933867,4.488378
1.4813337,0.095348455,0.23110211,0.01084944,4.8209767,4.4048104
1.6713707,0.10412175,0.26762757,0.010450969,5.2370887,4.717813
1.5480431,0.09428866,0.24441072,0.009402314,4.8826795,4.434927
1.3437937,0.079549566,0.21494798,0.010237619,4.3994646,4.0783777
1.4266587,0.08406791,0.23764521,0.012254146,4.6177235,4.265251
1.3448561,0.08018617,0.21741918,0.010057667,4.369353,4.019077
1.167743,0.06469737,0.1885359,0.008586529,3.9624498,3.7463386
1.3556498,0.0733037,0.21311803,0.010737868,4.561855,4.3158574
1.6432135,0.091960944,0.2613319,0.013268459,5.1994557,4.8455057
1.4406624,0.07923789,0.21922892,0.009497698,4.7601094,4.4835377
1.18613,0.06713404,0.18155077,0.006525444,4.326062,4.0592713
1.2583437,0.06418504,0.18823172,0.009180194,4.184868,4.003831
1.0973513,0.04294764,0.15708876,0.002075215,3.7643182,3.7515852
1.1169966,0.057702027,0.16394833,0.004159252,3.997052,3.7743313
1.1838492,0.05668418,0.1823228,0.009739267,4.012843,3.887192
