A,Ca,Ce,D,I
0.009214984,4.8329134,4.390389,0.04427291,0.048698384
0.011347049,4.5610175,4.016296,0.041606054,0.045210615
0.005721933,3.4562206,2.7015865,0.031718533,0.029623177
0.005702434,3.4618545,2.7012804,0.03176069,0.029592454
0.007725419,3.9822228,3.3622413,0.035033677,0.03621627
0.007725419,3.985777,3.3760655,0.034913205,0.036234044
0.007987871,4.0410542,3.4204519,0.03540066,0.036775984
0.009370185,4.393617,3.7439535,0.039421476,0.040987134
0.007983179,4.304551,3.5933478,0.039658282,0.03876779
0.008901431,4.783469,3.9069417,0.044715386,0.04190728
0.008731644,4.6482778,3.6862216,0.043989886,0.039893877
1.38E-02,"	1.32E+00","	3.42E+00","	2.69E-01","	3.19E-02"
0.007797841,4.1287622,3.3341134,0.03767937,0.035170425
0.008274484,4.180365,3.365268,0.038748287,0.03582118
0.006839251,3.4111435,2.7300384,0.030970912,0.028811356
0.009176082,4.687714,3.8174994,0.04298891,0.039359156
0.009812268,4.6320047,3.6923308,0.041837852,0.03852788
0.008444925,4.2451124,3.3683398,0.038111452,0.034856874
0.007632574,4.250314,3.3859904,0.03792969,0.033761173
0.005343343,3.8938987,3.0121145,0.035567526,0.02885023
0.006271249,3.899466,2.921211,0.03486667,0.028351929
0.007807764,4.045626,3.072061,0.035759877,0.030451663
