CBO,DIT,LCOM,NOC,RFC,WMC
0.8486985,0.05950437,0.14181432,0.005512556,2.8751526,2.6405413
0.7617177,0.047605716,0.13111593,0.005525087,2.5469167,2.4269629
0.4785684,0.021914368,0.075633325,0.001552937,1.7212937,1.709861
0.47857678,0.021914368,0.075658314,0.001552937,1.7216847,1.710096
0.6044647,0.035199698,0.09534137,0.003310282,2.044061,1.922599
0.6056657,0.03595936,0.09614645,0.003310282,2.0491574,1.9227542
0.5743089,0.033369295,0.089676514,0.002902559,1.9686269,1.8608758
0.708861,0.043757726,0.11205231,0.004342422,2.343718,2.1904929
0.73762727,0.043124955,0.12177169,0.004400347,2.344925,2.16994
0.8649786,0.048733126,0.1315619,0.003796542,2.7018511,2.499827
1.2100612,0.067700095,0.18136974,0.004766618,3.827767,3.5123885
0.7687112,0.04083429,0.12151838,0.003939592,2.3994913,2.2387404
0.5526031,0.030209584,0.08457965,0.003523609,1.845751,1.7422066
0.6477451,0.034327343,0.102012396,0.003345717,2.0774434,1.9467224
0.61102897,0.031363808,0.09386062,0.003384984,1.9904437,1.877854
0.945217,0.04914821,0.14264026,0.004554817,2.9011629,2.7266831
0.62586826,0.0333335,0.095790446,0.00329537,2.030859,1.9129233
0.5589626,0.028063456,0.08407177,0.003171329,1.8567826,1.7771425
0.5582294,0.027721142,0.083217375,0.003023583,1.8306313,1.74988
0.54193497,0.023720304,0.08554506,0.002236954,1.7859266,1.7522591
0.5315207,0.024281738,0.07827122,0.002465571,1.7457255,1.6955484
0.55206865,0.026065538,0.08334445,0.003084183,1.8150308,1.748846
