,CBO,DIT,LCOM,NOC,RFC,WMC,A,Ca,Ce,D,I,AHF,AIF,CF,MHF,MIF,PF
2.7.3,17.05084746,1.827586207,2.847457627,0.362068966,46.3220339,35.98305085,0.140952381,33.71428571,31.04761905,0.42952381,0.46,38.11%,54.34%,2.45%,29.90%,34.81%,76.64%
2.7.2,15.953125,1.920634921,2.75,0.333333333,46.140625,35.421875,0.140909091,32.59090909,30.40909091,0.419090909,0.471363636,38.10%,54.35%,2.45%,29.93%,34.82%,76.64%
2.7.1,16.84482759,1.842105263,2.896551724,0.368421053,46.86206897,36.36206897,0.140952381,33.52380952,30.95238095,0.43047619,0.459047619,38.12%,54.35%,2.45%,29.90%,34.84%,76.52%
2.7.0,16.74137931,1.842105263,2.896551724,0.368421053,46.84482759,36.4137931,0.140952381,33.38095238,31.14285714,0.427142857,0.462857143,41.64%,56.36%,2.46%,29.96%,34.85%,76.28%
2.6.3,15.58333333,1.915254237,2.866666667,0.355932203,45.55,34.83333333,0.1365,33.05,31.3,0.4285,0.47,41.46%,56.17%,2.45%,29.87%,35.59%,72.72%
2.6.2,16.59259259,1.830188679,3.037037037,0.396226415,46.2962963,35.81481481,0.136315789,34.31578947,32.05263158,0.440526316,0.457368421,41.46%,56.17%,2.45%,29.87%,35.59%,72.72%
2.6.1,16.57142857,1.8,2.964285714,0.381818182,46.875,37.125,0.1475,33.65,31.1,0.4315,0.4535,41.55%,56.17%,2.45%,29.92%,35.58%,72.79%
2.6.0,16.60714286,1.8,3.017857143,0.381818182,46.83928571,37.10714286,0.1475,33.65,30.9,0.432,0.4525,41.58%,56.18%,2.45%,29.82%,35.62%,72.79%
2.5.5,15.84615385,2.15625,2.969230769,0.328125,48.26153846,36.63076923,0.125454545,30.13636364,29.72727273,0.416818182,0.486818182,41.70%,55.23%,2.46%,29.61%,34.01%,72.79%
2.5.4,16.06060606,2.123076923,2.954545455,0.323076923,49.13636364,38.18181818,0.141818182,30.68181818,28.31818182,0.420909091,0.466818182,41.60%,55.23%,2.46%,29.67%,34.06%,76.84%
2.5.3,16.078125,2.158730159,3,0.333333333,48.71875,37.109375,0.131428571,31.14285714,29.04761905,0.428571429,0.470952381,41.66%,55.21%,2.46%,29.67%,34.06%,76.84%
2.5.2,15.93650794,2.193548387,2.666666667,0.338709677,48.53968254,36.79365079,0.125454545,30.09090909,29.68181818,0.415909091,0.489545455,41.76%,55.19%,2.46%,29.74%,33.94%,76.78%
2.5.1,16.25396825,2.177419355,2.936507937,0.338709677,49.12698413,37.55555556,0.130952381,31.04761905,28.9047619,0.427619048,0.473333333,41.74%,55.73%,2.46%,29.75%,33.98%,76.41%
2.5.0,16.0483871,2.213114754,2.629032258,0.344262295,49.06451613,37.20967742,0.134545455,29.95454545,29.63636364,0.406818182,0.487727273,41.93%,55.66%,2.47%,30.10%,33.98%,76.53%
2.4.1,15.625,2.1875,2.90625,0.328125,52.328125,41.359375,0.143181818,29.5,28.86363636,0.399090909,0.491818182,43.09%,56.04%,2.48%,29.46%,33.31%,78.03%
2.4.0,15.83076923,2.153846154,2.892307692,0.323076923,53.15384615,42.84615385,0.159545455,30.04545455,27.40909091,0.403181818,0.471818182,43.09%,56.04%,2.48%,29.46%,33.31%,78.03%
2.3.1,15.86153846,2.153846154,2.907692308,0.323076923,53.26153846,42.86153846,0.16,29.95454545,27.40909091,0.402272727,0.472272727,43.02%,55.82%,2.51%,29.40%,33.39%,77.77%
2.2.5,15.78461538,2.138461538,2.861538462,0.323076923,52.90769231,42.83076923,0.16,29.86363636,27.27272727,0.403181818,0.471818182,42.97%,55.81%,2.51%,29.61%,33.10%,79.77%
2.2.2,15.83870968,2.193548387,2.548387097,0.338709677,53.46774194,43.72580645,0.159545455,29.86363636,27.27272727,0.403181818,0.472727273,42.93%,55.80%,2.50%,29.67%,33.00%,79.72%
2.2.1,15.85483871,2.193548387,2.548387097,0.338709677,53.03225806,43.62903226,0.16,29.77272727,27.31818182,0.402727273,0.472272727,43.01%,55.76%,2.49%,29.73%,33.02%,79.92%
2.2.0,15.83333333,2.121212121,2.575757576,0.318181818,52.48484848,42.3030303,0.16,29.77272727,27.31818182,0.402727273,0.472272727,43.02%,55.75%,2.50%,29.73%,33.02%,79.92%
2.1.0,15.84126984,2.126984127,2.523809524,0.317460317,53.79365079,43.6984127,0.141818182,29.40909091,26.77272727,0.403636364,0.471363636,43.23%,55.60%,2.56%,30.12%,33.09%,79.59%
