,CBO,DIT,LCOM,NOC,RFC,WMC,A,Ca,Ce,D,I,AHF,AIF,CF,MHF,MIF,PF
2.7.3,15.83018868,2.228571429,3.377358491,0.457142857,44.96226415,35.95283019,0.12962963,27.96296296,27,0.405185185,0.48962963,38.11%,54.34%,2.45%,29.90%,34.81%,76.64%
2.7.2,15.83783784,2.190909091,3.657657658,0.436363636,45.98198198,36.72972973,0.136785714,27.07142857,26.17857143,0.394285714,0.4925,38.10%,54.35%,2.45%,29.93%,34.82%,76.64%
2.7.1,15.14393939,2.114503817,3.681818182,0.435114504,45.12878788,35.62878788,0.127333333,26.5,29.03333333,0.373666667,0.522,38.12%,54.35%,2.45%,29.90%,34.84%,76.52%
2.7.0,15.68867925,2.228571429,3.386792453,0.457142857,44.93396226,35.9245283,0.12962963,27.7037037,27.07407407,0.403333333,0.491851852,41.64%,56.36%,2.46%,29.96%,34.85%,76.28%
2.6.3,15.09923664,2.084615385,3.702290076,0.438461538,45.71755725,36.69465649,0.143793103,26.86206897,27.75862069,0.377241379,0.503793103,41.46%,56.17%,2.45%,29.87%,35.59%,72.72%
2.6.2,15.55045872,2.175925926,3.706422018,0.444444444,45.95412844,36.98165138,0.141481481,26.81481481,26.03703704,0.394814815,0.488888889,41.46%,56.17%,2.45%,29.87%,35.59%,72.72%
2.6.1,15.51219512,2.139344262,3.772357724,0.450819672,46.21138211,36.65853659,0.135925926,27.7037037,28.37037037,0.391111111,0.498148148,41.55%,56.17%,2.45%,29.92%,35.58%,72.79%
2.6.0,15.52293578,2.175925926,3.724770642,0.444444444,45.74311927,36.87155963,0.141481481,26.77777778,25.88888889,0.394814815,0.488148148,41.58%,56.18%,2.45%,29.82%,35.62%,72.79%
2.5.5,15.01041667,2.052631579,3.65625,0.463157895,44.69791667,37.13541667,0.122222222,26.22222222,26.7037037,0.404444444,0.497777778,41.70%,55.23%,2.46%,29.61%,34.01%,72.79%
2.5.4,15.16494845,2.03125,3.639175258,0.458333333,45.32989691,38.18556701,0.135555556,26.66666667,25.55555556,0.407777778,0.481481481,41.60%,55.23%,2.46%,29.67%,34.06%,76.84%
2.5.3,15.02083333,2.052631579,3.65625,0.463157895,44.69791667,37.13541667,0.122222222,26.22222222,26.74074074,0.404444444,0.497777778,41.66%,55.21%,2.46%,29.67%,34.06%,76.84%
2.5.2,15,2.063829787,3.631578947,0.468085106,44.77894737,37.38947368,0.126923077,26.84615385,25.96153846,0.412692308,0.487692308,41.76%,55.19%,2.46%,29.74%,33.94%,76.78%
2.5.1,15.26595745,2.064516129,3.64893617,0.47311828,45.20212766,37.76595745,0.126538462,26.80769231,25.92307692,0.412692308,0.487307692,41.74%,55.73%,2.46%,29.75%,33.98%,76.41%
2.5.0,15.08421053,2.063829787,3.621052632,0.468085106,44.88421053,37.41052632,0.12962963,26.07407407,26.62962963,0.396296296,0.498518519,41.93%,55.66%,2.47%,30.10%,33.98%,76.53%
2.4.1,15.79104478,2.119402985,2.985074627,0.313432836,54.14925373,42.79104478,0.15,30.47619048,28.0952381,0.41,0.476190476,43.09%,56.04%,2.48%,29.46%,33.31%,78.03%
2.4.0,15.02083333,2.052083333,3.604166667,0.458333333,48.01041667,41.34375,0.15,26.14814815,24.81481481,0.393333333,0.485555556,43.09%,56.04%,2.48%,29.46%,33.31%,78.03%
2.3.1,15.04166667,2.052083333,3.614583333,0.458333333,48.08333333,41.35416667,0.15037037,26.07407407,24.81481481,0.392592593,0.485925926,43.02%,55.82%,2.51%,29.40%,33.39%,77.77%
2.2.5,14.98958333,2.041666667,3.583333333,0.458333333,47.84375,41.33333333,0.15037037,26,24.7037037,0.393333333,0.485555556,42.97%,55.81%,2.51%,29.61%,33.10%,79.77%
2.2.2,14.28037383,1.981308411,3.457943925,0.46728972,45.8411215,38.62616822,0.144642857,25.39285714,25.32142857,0.385714286,0.497857143,42.93%,55.80%,2.50%,29.67%,33.00%,79.72%
2.2.1,14.28971963,1.981308411,3.457943925,0.46728972,45.58878505,38.57009346,0.145,25.32142857,25.35714286,0.385357143,0.4975,43.01%,55.76%,2.49%,29.73%,33.02%,79.92%
2.2.0,14.18518519,1.990740741,3.435185185,0.462962963,45.26851852,38.28703704,0.145,25.32142857,25.35714286,0.385357143,0.4975,43.02%,55.75%,2.50%,29.73%,33.02%,79.92%
2.1.0,14.49038462,1.990384615,3.442307692,0.461538462,46.40384615,39.45192308,0.130714286,25.03571429,25,0.385714286,0.497142857,43.23%,55.60%,2.56%,30.12%,33.09%,79.59%
