A,Ca,Ce,D,I
0,6,8,0.43,0.58
0,6,8,0.43,0.58
0,6,8,0.43,0.58
0,6,8,0.43,0.58
0.1175,4.125,5.375,0.30125,0.60375
0.1175,4.625,4.375,0.37125,0.52625
0.055,3.75,4.25,0.4025,0.55125
0.055,3.875,4.375,0.405,0.54875
