CBO,DIT,LCOM,NOC,RFC,WMC
3.428571429,5.615384615,1.642857143,0,17.07142857,7.357142857
3.428571429,5.615384615,1.642857143,0,17.07142857,7.357142857
3.428571429,5.615384615,1.642857143,0,17,7.214285714
3.428571429,5.615384615,1.642857143,0,17.07142857,7.357142857
3.714285714,2.285714286,2.142857143,0.285714286,21,8.857142857
3.142857143,2.285714286,2.142857143,0.285714286,20.57142857,8.857142857
3.285714286,2.285714286,2.428571429,0.285714286,27.57142857,11.42857143
3.285714286,2.285714286,2.571428571,0.285714286,26.57142857,11
