Versions,CBO,DIT,LCOM,NOC,RFC,WMC,A,Ca,Ce,D,I,AHF,AIF,CF,MHF,MIF,PF
1.2,1,5.333333333,1,0,8,4.333333333,0,0,1,0,1,100,100,100,12.5,0,100
1.3,1,5.333333333,1,0,8,4.333333333,0,0,1,0,1,100,100,100,12.5,0,100
1.4,1.333333333,5.333333333,1,0,14.33333333,8.333333333,0,0,1,0,1,0,99.09,133.33,8.33,0,100
1.5.2,1.333333333,5.333333333,1,0,18.66666667,13,0,0,1,0,1,0,98.2,133.33,4.76,0,100
1.6,1.333333333,5.333333333,1,0,19,13.66666667,0,0,1,0,1,0,98.2,116.67,7.25,0,100
1.7,1.333333333,5.333333333,1,0,19,13.33333333,0,0,1,0,1,0,98.2,133.33,4.55,0,100
