CBO,DIT,LCOM,NOC,RFC,WMC
9,6,3,0,55,27
9,6,3,0,55,27
9,6,3,0,54.5,26
9,6,3,0,55,27
6.5,3.5,2.25,0.083333333,32.41666667,15.08333333
5.083333333,3.833333333,2.416666667,0.083333333,29.91666667,14.66666667
5.333333333,2.75,2.25,0,39.5,22.16666667
5.5,2.75,2.5,0,39.66666667,22.83333333
