A,Ca,Ce,D,I
0,6,8,0.43,0.58
0,6,8,0.43,0.58
0,6,8,0.43,0.58
0,6,8,0.43,0.58
0.088,6.2,8,0.416,0.532
0.088,7,6.6,0.494,0.442
0.088,5.6,6.2,0.478,0.448
0.088,5.8,6.4,0.482,0.444
