2.1.0,2.2.0,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.3.1,2.4.0,2.4.1,2.5.0,2.5.1,2.5.2,2.5.3,2.5.4,2.5.5,2.6.0,2.6.1,2.6.2,2.6.3,2.7.0,2.7.1,2.7.2,2.7.3
388,445,751,552,434,460,705,393,637,517,338,427,565,810,455,412,453,599,332,302,150,460,963,532
422,341,282,260,303,322,242,362,277,242,268,268,287,341,273,727,410,1264,713,375,290,197,649,551
311,249,272,322,260,404,566,317,152,208,208,495,300,243,214,233,296,1690,354,361,238,229,279,378
238,301,314,650,326,261,149,370,198,314,225,291,410,197,256,244,419,1640,227,404,257,274,418,390
310,271,445,340,346,142,729,237,491,278,355,209,383,241,438,264,902,256,647,495,304,300,454,354
359,212,269,218,192,345,410,265,192,260,373,627,223,322,236,224,434,1726,304,447,310,232,358,388
435,265,297,380,232,359,272,252,204,156,276,271,500,471,246,271,409,430,400,287,322,294,471,558
380,278,369,716,267,289,645,404,247,251,290,253,320,432,284,239,420,1750,438,462,374,264,401,397
251,318,325,356,599,289,484,494,441,309,353,568,184,273,295,375,763,694,430,407,610,230,722,256
209,678,316,452,559,383,877,522,164,290,186,224,427,601,317,266,385,1575,332,361,287,431,388,413
,,,262,283,,313,,,,,,,,,,,,,,,,,
