2.1.0,2.2.0,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.3.1,2.4.0,2.4.1,2.5.0,2.5.1,2.5.2,2.5.3,2.5.4,2.5.5,2.6.0,2.6.1,2.6.2,2.6.3,2.7.0,2.7.1,2.7.2,2.7.3
557,776,770,433,971,695,731,451,440,731,617,807,466,610,456,518,158,702,602,854,549,386,714,745
228,682,300,317,305,962,221,371,171,368,294,306,290,507,643,718,687,1914,261,483,286,265,319,562
438,130,700,453,484,275,207,261,321,235,416,320,404,191,338,293,257,1063,497,453,729,223,510,340
293,334,358,447,324,321,255,373,280,334,202,427,362,482,242,446,298,1581,271,325,332,257,289,1131
427,389,362,405,956,145,481,403,219,198,612,310,333,469,473,460,518,1548,358,400,364,239,408,316
410,290,277,320,256,399,338,287,287,198,270,258,421,313,304,256,368,539,369,300,395,487,354,313
341,640,548,415,954,320,191,294,196,257,409,440,347,567,394,351,486,1165,327,253,964,204,348,461
399,320,353,351,441,430,249,297,249,243,278,651,605,245,428,234,289,1273,432,367,286,266,551,434
315,477,443,356,952,909,291,222,321,239,248,247,186,600,372,274,427,1550,452,596,507,506,454,671
290,486,371,811,,,352,367,237,481,364,,221,690,528,280,852,671,420,543,443,425,378,290
,,303,,,,861,,,,275,,,,,,,,,,419,288,228,
,,409,,,,,,,,,,,,,,,,,,,,376,
