2.1.0,2.2.0,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.3.1,2.4.0,2.4.1,2.5.0,2.5.1,2.5.2,2.5.3,2.5.4,2.5.5,2.6.0,2.6.1,2.6.2,2.6.3,2.7.0,2.7.1,2.7.2,2.7.3
767,532,676,829,757,677,705,650,512,219,252,405,227,513,405,483,753,642,723,440,330,385,536,402
273,175,204,242,153,278,409,301,136,251,371,377,415,158,159,190,286,811,329,260,272,275,724,477
341,218,343,267,326,231,213,406,297,242,331,277,280,291,343,160,428,1468,287,303,262,299,569,491
253,223,360,316,186,447,391,367,229,192,267,288,287,242,294,282,408,1746,352,173,627,397,201,508
97,209,410,247,408,381,244,252,228,193,317,202,301,273,342,311,337,1685,293,464,305,322,251,450
301,221,228,286,438,234,147,303,83,166,255,214,178,238,272,186,357,1479,256,492,332,134,279,440
220,276,256,239,223,213,276,476,338,178,233,393,306,151,442,220,331,1438,311,472,333,248,270,225
345,206,372,311,494,308,114,281,278,251,459,644,727,175,435,181,416,5,273,371,377,256,289,508
291,171,374,189,442,240,192,209,160,206,195,248,577,575,247,166,269,575,370,624,339,292,255,380
307,234,483,220,361,374,435,223,221,411,262,240,370,226,279,314,327,1394,431,333,287,297,752,454
,252,,,,,,,,,,,,,291,,,,,,,,,
,261,,,,,,,,,,,,,,,,,,,,,,
