2.1.0,2.2.0,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.3.1,2.4.0,2.4.1,2.5.0,2.5.1,2.5.2,2.5.3,2.5.4,2.5.5,2.6.0,2.6.1,2.6.2,2.6.3,2.7.0,2.7.1,2.7.2,2.7.3
223,288,371,132,390,253,513,214,450,9,366,189,311,139,259,374,506,574,142,262,512,522,350,10
9,9,30,24,16,15,31,18,20,48,17,105,27,36,25,30,31,3393,20,507,7,10,264,352
27,158,26,439,18,406,12,21,25,10,22,282,27,146,7,27,29,3687,7,5,9,169,20,165
12,9,9,28,471,9,643,20,55,20,29,49,38,11,415,27,22,3710,263,22,23,26,314,157
106,192,184,582,27,2,14,25,34,34,7,104,9,36,29,36,9,618,21,19,7,129,18,357
27,29,13,28,409,127,27,9,200,31,28,32,26,65,23,29,7,3267,309,12,7,473,282,152
25,26,9,226,29,279,421,36,22,287,174,29,356,148,245,393,282,3770,6,8,579,298,67,340
93,1,374,23,449,21,767,2,25,200,24,30,24,65,9,12,21,1802,477,7,15,7,18,449
26,195,15,18,449,32,196,145,394,179,23,128,406,27,9,8,410,7,7,22,6,428,19,341
147,1,362,437,206,116,,2,8,45,12,9,317,98,,315,787,,31,19,15,0,470,124
184,171,364,34,,25,,25,,,,149,,,,16,20,,,,,,,
,,,,,22,,111,,,,,,,,,,,,,,,,
