Versions,CBO,DIT,LCOM,NOC,RFC,WMC,A,Ca,Ce,D,I,AHF,AIF,CF,MHF,MIF,PF
1_0,8.147887324,2.455223881,1.873239437,0.141791045,29.69512195,23.90140845,0.107222222,15.77777778,18,0.442222222,0.5,77.20 ,76.39 ,11.59 ,31.89 ,9.00 ,206.92 
1.1,8.105633803,2.455223881,1.845070423,0.141791045,29.57926829,23.78169014,0.107222222,15.66666667,17.88888889,0.442222222,0.5,77.09 ,76.51 ,11.50 ,31.93 ,9.04 ,207.94 
